materials property curl diameter pitch
sample581 1.484206189 3.141592654 40 100
sample582 0.407146808 1.256637061 50 100
sample583 0.526802301 1.884955592 50 100
sample584 0.49997051 2.513274123 50 100
sample585 0.641481303 1.884955592 50 100
sample586 0.590993807 3.769911184 50 100
sample587 0.523349101 1.884955592 50 100
sample588 0.605101478 3.141592654 50 100
sample589 0.619855582 3.769911184 50 100
sample590 0.46464721 1.256637061 50 100
sample591 0.601233895 1.884955592 50 100
sample592 0.564565671 2.513274123 50 100
sample593 0.579879336 3.141592654 50 100
sample594 0.607789855 3.769911184 50 100
sample595 0.211428385 1.256637061 60 100
sample596 0.291066161 1.884955592 60 100
sample597 0.288265162 2.513274123 60 100
sample598 0.24434539 3.141592654 60 100
sample599 0.303703704 3.769911184 60 100
sample600 0.182657231 1.256637061 60 100
sample601 0.267289512 1.884955592 60 100
sample602 0.285761691 2.513274123 60 100
sample603 0.306362843 3.141592654 60 100
sample604 0.340511204 3.769911184 60 100
sample605 0.16501886 1.256637061 60 100
sample606 0.252757489 1.884955592 60 100
sample607 0.158117409 1.256637061 60 100
sample608 0.246759956 1.884955592 60 100
sample609 0.256823523 2.513274123 60 100
sample610 0.24589624 3.141592654 60 100
sample611 0.240601504 3.769911184 60 100
sample612 1.637142899 1.047197551 20 120
sample613 1.670345588 2.094395102 20 120
sample614 1.648836077 2.617993878 20 120
sample615 1.517185236 3.141592654 20 120
sample616 1.743457837 1.047197551 20 120
sample617 1.665250233 1.570796327 20 120
sample618 1.708874297 2.094395102 20 120
sample619 1.656264447 2.617993878 20 120
sample620 1.619928259 1.047197551 30 120
sample621 1.365832848 1.570796327 30 120
sample622 1.541656935 2.617993878 30 120
sample623 1.562563493 1.047197551 30 120
sample624 1.529428852 2.094395102 30 120
sample625 1.543618206 2.617993878 30 120
sample626 1.463423868 1.570796327 30 120
sample627 1.576514283 2.094395102 30 120
sample628 1.543754945 3.141592654 30 120
sample629 1.356127306 1.047197551 40 120
sample630 1.213763978 1.570796327 40 120
sample631 1.355781364 2.094395102 40 120
sample632 1.435901358 3.141592654 40 120
sample633 1.291089283 1.047197551 40 120
sample634 1.466244143 2.617993878 40 120
sample635 1.427631302 3.141592654 40 120
sample636 1.298093211 1.047197551 40 120
sample637 1.356004282 1.570796327 40 120
sample638 1.470433173 2.094395102 40 120
sample639 1.49988652 2.617993878 40 120
sample640 0.83853444 1.570796327 50 120
sample641 1.347348769 2.617993878 50 120
sample642 0.99017404 3.141592654 50 120
sample643 0.970271394 1.570796327 50 120
sample644 1.354269255 2.094395102 50 120
sample645 1.381961174 2.617993878 50 120
sample646 0.880970476 1.047197551 50 120
sample647 1.072534142 1.570796327 50 120
sample648 1.336080772 2.617993878 50 120
sample649 0.427700241 1.047197551 60 120
sample650 0.595564204 1.570796327 60 120
sample651 0.594594595 2.094395102 60 120
sample652 0.572439093 2.617993878 60 120
sample653 0.416041521 1.047197551 60 120
sample654 0.651931934 2.617993878 60 120
sample655 0.730474669 3.141592654 60 120
sample656 0.410517535 1.047197551 60 120
sample657 0.558405083 1.570796327 60 120
sample658 0.601605246 2.094395102 60 120
sample659 0.702363849 3.141592654 60 120
sample660 1.630168643 0.897597901 20 140
sample661 1.666891949 1.346396852 20 140
sample662 1.727557719 1.795195802 20 140
sample663 1.712835287 2.243994753 20 140
sample664 1.660926566 2.692793703 20 140
